Date,AMZN,PG,XOM,BRK_B,JNJ,BA,DWDP,AMT,AAPL,NEE,XL,PLD,HIG,WMT
2000-01-03,89.375,33.401649,24.880707,35.299999,29.265608,27.219793,41.464661,26.440321,3.583733,11.019556,31.656887,9.330647,31.126564,48.45433
2000-01-04,81.9375,32.75893,24.404148,34.080002,28.194189,27.177492,40.331322,26.158449,3.281587,11.219906,30.231949,9.183476,30.094742,46.641258
2000-01-05,69.75,32.135689,25.734549,34.639999,28.491827,28.870798,41.640522,26.947704,3.32961,11.587228,30.50153,9.065737,29.191904,45.689392
2000-01-06,65.5625,33.615871,27.064951,36.080002,29.38468,29.167097,42.812946,26.665827,3.041471,11.587228,30.732605,9.242348,29.44985,46.188
2000-01-07,69.5625,36.3036,26.985538,36.400002,30.634644,30.013748,43.770428,28.131596,3.18554,11.921151,32.773739,9.418951,30.825607,49.678146
2000-01-10,69.1875,36.1283,26.608261,36.259998,29.860844,29.590425,42.65662,30.612137,3.129513,11.820977,33.274391,9.477819,30.309706,48.771622
2000-01-11,66.75,36.693115,26.687685,35.580002,29.960072,29.040104,42.246281,32.92355,2.969436,11.687409,32.735222,9.507254,30.524672,48.046387
2000-01-12,63.5625,36.459404,26.52883,34.900002,29.682278,29.167097,43.066975,34.276581,2.79135,11.937854,31.695406,9.418951,29.965755,47.185177
2000-01-13,65.9375,35.836174,27.144388,35.200001,29.642597,28.701454,43.14513,33.374561,3.097498,11.820977,31.656887,9.389518,29.707813,47.230507
2000-01-14,64.25,36.459404,26.608261,34.02,29.7418,29.802097,43.457779,34.389339,3.215554,11.603925,31.772409,9.301211,30.051748,46.777245
2000-01-18,64.125,36.439941,26.925961,34,28.987843,30.479404,40.741669,34.671215,3.327609,11.320086,31.348797,9.448384,28.761988,47.547779
2000-01-19,66.8125,36.051682,27.184114,34.18,29.087044,32.257378,40.389946,35.178596,3.41165,11.587228,31.348797,9.507254,27.859131,46.459942
2000-01-20,64.75,35.172852,26.588404,34,29.186255,31.495396,39.329853,36.531628,3.633756,11.453654,31.50284,9.56612,27.128265,45.961357
2000-01-21,62.0625,32.087162,27.005392,34.220001,28.53149,30.945072,38.181873,38.899406,3.563723,11.754189,30.694086,9.62499,26.096437,45.281452
2000-01-24,70.125,32.223877,26.767107,34,26.567245,30.013748,39.491089,37.884651,3.401645,11.687409,29.808323,9.595551,26.612362,43.060444
2000-01-25,69.25,30.466223,26.707541,34.060001,27.063257,30.945072,38.162342,37.264511,3.593738,11.286689,29.500216,9.62499,26.182426,44.329594
2000-01-26,64.8125,31.442692,26.52883,34.139999,26.5077,31.283737,37.908314,35.855099,3.527706,11.320086,28.807001,9.654426,26.827303,44.918831
2000-01-27,66.9375,32.51683,25.734549,33.919998,25.555336,30.521748,37.224403,34.614841,3.521703,11.086337,29.307655,9.683861,26.870316,42.879139
2000-01-28,61.6875,31.345041,25.059422,33.200001,26.825165,30.225414,35.876114,34.107449,3.253573,11.036254,28.729969,9.654426,25.666512,39.978226
2000-01-31,64.5625,31.579401,26.330254,32.919998,27.321186,30.140753,36.423244,32.359798,3.321606,11.269998,27.95973,9.62499,26.225431,39.706253
2000-02-01,67.4375,31.091154,26.429537,33.5,26.924362,29.632757,37.47842,34.953094,3.209552,11.036254,28.113787,9.683861,26.698328,42.561855
2000-02-02,69.4375,30.817747,26.628105,32.799999,27.102934,30.225414,35.993359,35.404099,3.163529,11.103033,27.651628,9.654426,27.214249,42.335213
2000-02-03,84.1875,30.56386,26.171404,33.400002,26.448181,29.421091,35.954281,36.080605,3.307599,11.453654,28.729969,9.683861,28.031101,42.335213
2000-02-04,78.5625,29.606907,25.694828,33.099998,26.071209,29.802097,35.074959,36.475239,3.457672,11.119736,29.038067,9.654426,28.804964,40.839436
2000-02-07,75,29.138187,25.655123,33.279999,25.852945,28.320456,34.86002,34.84034,3.651766,11.136429,27.95973,9.683861,27.472198,40.43148
2000-02-08,83.125,29.919363,25.079268,32.700001,26.051361,27.770132,34.879555,37.884651,3.677779,11.169816,27.8827,9.62499,25.795485,43.151089
2000-02-09,80.25,29.372553,24.361216,31.76,25.396601,26.505999,33.863461,37.771889,3.605743,11.019556,27.497583,9.62499,24.333744,41.927273
2000-02-10,76.1875,28.57184,24.241415,30.959999,24.761684,27.015738,33.120922,39.632294,3.633756,10.769107,27.420565,9.62499,23.817835,41.338024
2000-02-11,76.1875,29.29443,23.602415,30.139999,24.671679,27.100685,33.062305,39.914173,3.481683,10.919379,27.389446,9.448384,23.817835,40.658123
2000-02-14,74.4375,28.708536,24.421122,28.48,24.731422,25.996262,33.081848,40.477936,3.707793,10.885978,26.494614,9.56612,23.215944,42.69783
2000-02-15,73.8125,29.919363,25.339664,30.639999,25.388536,26.166185,34.058861,41.154446,3.809842,10.919379,27.739592,9.713291,24.290764,42.063267
2000-02-16,70.6875,29.387173,25.559305,33.279999,25.428364,25.316626,33.531273,41.492702,3.653767,10.936071,28.128643,9.713291,23.387913,38.255814
2000-02-17,69,29.431133,24.88039,33.259998,25.229233,25.486534,33.66806,40.590691,3.677779,10.952765,27.428356,9.683861,23.387913,35.082932
2000-02-18,64.75,29.26026,23.961859,33.720001,24.671679,24.46707,32.74966,38.561142,3.561723,10.769107,26.14447,9.654426,22.743029,34.629677
